date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:05:00	186005/186005	---M-Z	200	added ('OK')	text/html	etag:%225f2169c6fd9dcee66cd0e4925fa24f86%22	https://janusmakes.framer.website/	C:/My%20Web%20Sites/Janus%20Studios/janusmakes.framer.website/index.html	(from )
12:05:01	103/103	---M-Z	200	added ('OK')	text/plain	etag:%2216fcae273689afce97996e9fff314bf2%22	https://janusmakes.framer.website/robots.txt		(from )
12:05:01	65297/65297	---MC-	200	added ('OK')	image/png	etag:%22d8ffe9bf3cd02aee9857e4029d0b4649%22	https://images/C44DEO34GnGp9t0RZp21NTv23U.png	C:/My%20Web%20Sites/Janus%20Studios/images/C44DEO34GnGp9t0RZp21NTv23U.png	(from https://janusmakes.framer.website/)
12:05:02	5362/5362	---MC-	200	added ('OK')	image/png	etag:%229d5d0be3757cb5318fa1b760ba0b036e%22	https://images/902X9kTJpX87AbAL01iiP5OYcYY.png?width=363&height=512	C:/My%20Web%20Sites/Janus%20Studios/images/902X9kTJpX87AbAL01iiP5OYcYY02ba.png	(from https://janusmakes.framer.website/)
12:05:02	1403502/1403502	---MC-	200	added ('OK')	image/png	etag:%2291bd806535761160523cc67b40c392a1%22	https://images/CqLb81reuRAYVYiJJxbBlbc5z5U.png?width=3000&height=3000	C:/My%20Web%20Sites/Janus%20Studios/images/CqLb81reuRAYVYiJJxbBlbc5z5U5d8c.png	(from https://janusmakes.framer.website/)
12:05:03	172141/172141	---M-Z	200	added ('OK')	text/html	etag:%224694667f7012e3f2813e13035a560ce6%22	https://janusmakes.framer.website/about	C:/My%20Web%20Sites/Janus%20Studios/janusmakes.framer.website/about.html	(from https://janusmakes.framer.website/)
12:05:05	2379138/2379138	---MC-	200	added ('OK')	image/png	etag:%220e296b1fed5c66fd231613b7895d5a8c%22	https://images/jRKRtwnrgOd3QK0YhnEqGS9WeYk.png?width=2000&height=2600	C:/My%20Web%20Sites/Janus%20Studios/images/jRKRtwnrgOd3QK0YhnEqGS9WeYkaddf.png	(from https://janusmakes.framer.website/)
12:05:12	2038666/2038666	---MC-	200	added ('OK')	image/png	etag:%225217a9297667bcd615a4bf5b24668a61%22	https://images/KSzCpMuD8CykaRZac3DVk5Gue1A.png?width=2000&height=2600	C:/My%20Web%20Sites/Janus%20Studios/images/KSzCpMuD8CykaRZac3DVk5Gue1Aaddf.png	(from https://janusmakes.framer.website/)
12:05:13	3353370/3353370	---MC-	200	added ('OK')	image/png	etag:%22d7826e1275adf9819edbfa0215c8d0ee%22	https://images/2ofzQZBgYmXXFtA9CrO9PdMWxec.png?width=3750&height=3750	C:/My%20Web%20Sites/Janus%20Studios/images/2ofzQZBgYmXXFtA9CrO9PdMWxec67b5.png	(from https://janusmakes.framer.website/)
12:05:13	2139139/2139139	---MC-	200	added ('OK')	image/png	etag:%2231a81d2e75143e3ebdb3ac56a1f00cd3%22	https://images/adWCSFHrGoEalrgAZdZgrNlt1U.png?width=2500&height=2500	C:/My%20Web%20Sites/Janus%20Studios/images/adWCSFHrGoEalrgAZdZgrNlt1Uc1b5.png	(from https://janusmakes.framer.website/)
